# Magnetic Field Gauss-Seidel algorithm data
x,y,Az,Bx,By
3.0,6.0,0.007572509269866337,0.0012609248238494705,-0.0025291461131923265
3.0,7.0,0.008832297380439788,0.0012575488043212357,-0.0029517734918071445
3.0,8.0,0.010087606878508808,0.0012515576493998181,-0.0033737558186837818
3.0,9.0,0.011335412679239425,0.0012420819369483868,-0.0037941851511128053
3.0,10.0,0.012571770752405582,0.0012281611644264726,-0.004211829822979172
3.0,11.0,0.01379173500809237,0.0012087632298545294,-0.004625099356573045
3.0,12.0,0.01498929721211464,0.001182811641034039,-0.005032015831326447
3.0,13.0,0.016157358290160448,0.001149221527318698,-0.005430194913684772
3.0,14.0,0.017287740266752036,0.001106945012105346,-0.005816840334829416
3.0,15.0,0.01837124831437114,0.0010550256851558446,-0.006188755997226169
3.0,16.0,0.019397791637063726,0.000992660774099395,-0.0065423799440795394
3.0,17.0,0.02035656986256993,0.0009192681921040106,-0.006873843961067159
3.0,18.0,0.021236328021271747,0.000834554053138363,-0.007179061423945317
3.0,19.0,0.022025677968846656,0.0007385747157193957,-0.0074538440345072315
3.0,20.0,0.02271347745271054,0.0006317862550499626,-0.007694045287649482
3.0,21.0,0.02328925047894658,0.0005150738465258993,-0.007895725048742558
3.0,22.0,0.023743625145762337,0.0003897542270453209,-0.008055325885607856
3.0,23.0,0.024068758933037223,0.00025754640736106414,-0.008169848413486818
3.0,24.0,0.024258717960484465,0.00012050910331095309,-0.008237010641727376
3.0,25.0,0.02430977713965913,-1.9052444449033437e-05,-0.008255375898064235
3.0,26.0,0.0242206130715864,-0.00015870319999073193,-0.008224435826535047
3.0,27.0,0.023992370739677665,-0.00029600787713812866,-0.00814463919720347
3.0,28.0,0.02362859731731014,-0.0004286604704769239,-0.008017363230763278
3.0,29.0,0.023135049798723818,-0.0005546009424266824,-0.007844830743395797
3.0,30.0,0.022519395432456776,-0.0006721083312827367,-0.007629982382435788
3.0,31.0,0.021790833136158344,-0.0007798632158453299,-0.007376317466093298
3.0,32.0,0.020959669000766117,-0.0008769768639601341,-0.0070877188615003535
3.0,33.0,0.020036879408238076,-0.0009629885931857693,-0.006768276923661689
3.0,34.0,0.019033691814394578,-0.0010378361654941985,-0.006422125249703843
3.0,35.0,0.01796120707724968,-0.001101806043828403,-0.006053297618705566
3.0,36.0,0.016830079726737772,-0.001155471020952795,-0.005665611754643498
3.0,37.0,0.01565026503534409,-0.0011996223133655445,-0.005262582088914468
3.0,38.0,0.014430835100006683,-0.0012352020514903028,-0.004847360901987343
3.0,39.0,0.013179860932363483,-0.0012632405665757782,-0.004422705255744444
3.0,40.0,0.011904353966855127,-0.0012848012893609756,-0.003990965975638178
3.0,41.0,0.010610258353641532,-0.0013009346540809588,-0.0035540944805486138
3.0,42.0,0.009302484658693209,-0.001312641263479952,-0.003113663314731588
3.0,43.0,0.007984975826681628,-0.0013208437546529711,-0.002670896633553908
3.0,44.0,0.006660797149387267,-0.0013263662944645832,-0.00222670747950403
3.0,45.0,0.005332243237752461,-0.0013299203786571886,-0.0017817393391656485
3.0,46.0,0.00400095639207289,-0.0013320955507742744,-0.0013364101135833577
3.0,47.0,0.0026680521362039125,-0.0013333537376175263,-0.0008909572130739753
3.0,48.0,0.0013342489168378369,-0.0013340260681019562,-0.00044548297614355247
3.0,49.0,0.0,-0.0006671244584189184,-0.0
4.0,0.0,0.0,0.0008408199754636824,-0.0
4.0,1.0,0.0016816399509273648,0.001682018622487685,-0.00042041741614464324
4.0,2.0,0.00336403724497537,0.001682983698886168,-0.0008412376754973676
4.0,3.0,0.005047607348699701,0.0016842053176245706,-0.001262780195224356
4.0,4.0,0.006732447880224511,0.0016852857898823786,-0.0016852857898823782
4.0,5.0,0.008418178928464458,0.0016856672428697864,-0.002108876177801245
4.0,6.0,0.010103782365964084,0.0016846311269715303,-0.0025335120253025443
4.0,7.0,0.011787441182407519,0.001681299350149757,-0.0029589493713753174
