# Cahn-Hilliard Free Energy
"frame, free energy"
7900.0,-109.88176539519395
8000.0,-109.88380933918404
8100.0,-109.88601192468718
8200.0,-109.88839335799136
8300.0,-109.8909776162059
8400.0,-109.89379337963638
8500.0,-109.89687524979935
8600.0,-109.90026535630767
8700.0,-109.9040154978878
8800.0,-109.90819002298157
8900.0,-109.91286974111316
9000.0,-109.91815727645712
9100.0,-109.92418443829193
9200.0,-109.93112238995994
9300.0,-109.93919562188736
9400.0,-109.9487008739946
9500.0,-109.96003193334911
9600.0,-109.97371003214627
9700.0,-109.99041623959253
9800.0,-110.01101533113375
9900.0,-110.03655022612983
10000.0,-110.06817878052559
10100.0,-110.10703823809175
10200.0,-110.15407363720189
10300.0,-110.2099291405409
10400.0,-110.27499469613855
10500.0,-110.34958942360592
10600.0,-110.4341485414376
10700.0,-110.52928238335754
10800.0,-110.63568596792528
10900.0,-110.75399658372517
11000.0,-110.88471965657429
11100.0,-111.02823809328945
11200.0,-111.1848125209857
11300.0,-111.35451670181278
11400.0,-111.53716284927981
11500.0,-111.73227829093628
11600.0,-111.939119265578
11700.0,-112.1567081161096
11800.0,-112.38393654565112
11900.0,-112.61974615258447
12000.0,-112.86331497731771
12100.0,-113.11417831101227
12200.0,-113.37227192865531
12300.0,-113.63791178535067
12400.0,-113.91171126196537
12500.0,-114.19443492622813
12600.0,-114.48682102785976
12700.0,-114.78945081898812
12800.0,-115.10274320942602
12900.0,-115.4270778448469
13000.0,-115.76295470896505
13100.0,-116.11107242271461
13200.0,-116.47227457819127
13300.0,-116.84741648933269
13400.0,-117.23725252976989
13500.0,-117.64239820960087
13600.0,-118.06335566134888
13700.0,-118.50058432179834
13800.0,-118.9545975617895
13900.0,-119.42601972260114
14000.0,-119.91553353151618
14100.0,-120.42373689707523
14200.0,-120.95100549458144
14300.0,-121.49743939462691
14400.0,-122.06291581984283
14500.0,-122.64724012398725
14600.0,-123.2503567060632
14700.0,-123.87253042057549
14800.0,-124.51440578680783
14900.0,-125.17694913461152
15000.0,-125.86136940009658
15100.0,-126.56904405300037
15200.0,-127.30133029683859
15300.0,-128.05916159429935
15400.0,-128.8425487763439
15500.0,-129.65029870229085
15600.0,-130.48020027921692
15700.0,-131.3295899283845
15800.0,-132.1959093459803
15900.0,-133.07694539095178
16000.0,-133.9707818845433
16100.0,-134.8757062738787
16200.0,-135.7902440337401
16300.0,-136.7133002228874
16400.0,-137.64428257000333
16500.0,-138.58311087703325
16600.0,-139.53009708393003
16700.0,-140.4857402506324
16800.0,-141.45049796408796
16900.0,-142.42456376845905
17000.0,-143.4076311302722
17100.0,-144.3986198954999
17200.0,-145.39542535382878
17300.0,-146.39486331588535
17400.0,-147.39294870014078
17500.0,-148.38542516027707
17600.0,-149.36830097370398
17700.0,-150.33820461019585
17800.0,-151.29252856945664
17900.0,-152.22942120364186
18000.0,-153.14768757894822
18100.0,-154.0466237016565
18200.0,-154.92579080552923
18300.0,-155.78476654557792
18400.0,-156.62296177201435
18500.0,-157.43959115201682
18600.0,-158.233798791762
18700.0,-159.00484348874957
18800.0,-159.75223740482042
18900.0,-160.47579456901738
19000.0,-161.17560327699144
19100.0,-161.8519498710038
19200.0,-162.5052102755462
19300.0,-163.1357234862429
19400.0,-163.74367875495173
19500.0,-164.32906482451054
19600.0,-164.8917116016708
19700.0,-165.4314016386361
19800.0,-165.9479893661996
19900.0,-166.44147725297734
20000.0,-166.912037543606
20100.0,-167.35999443792275
20200.0,-167.78578403533578
20300.0,-168.18990280540646
20400.0,-168.57285346251874
20500.0,-168.93510176512422
20600.0,-169.27706106839887
20700.0,-169.59911435812472
20800.0,-169.90166688740524
20900.0,-170.1852088399068
21000.0,-170.4503666898608
21100.0,-170.69793136900927
21200.0,-170.92886215808034
21300.0,-171.14427217185064
21400.0,-171.34540359766189
21500.0,-171.5335993555691
21600.0,-171.71027382753232
21700.0,-171.87687993065464
21800.0,-172.03486432169086
21900.0,-172.18559962723072
22000.0,-172.33028833479418
22100.0,-172.46985421131168
22200.0,-172.60486827104572
22300.0,-172.7355662474976
22400.0,-172.86197180688123
22500.0,-172.9840704865752
22600.0,-173.10195457376187
