8 15       9.76553733
8 16      10.19330362
8 17      10.60640433
8 18      10.99581932
8 19      11.35245699
8 20      11.66749830
8 21      11.93276908
8 22      12.14111535
8 23      12.28675374
8 24      12.36556847
8 25      12.37532947
8 26      12.31581228
8 27      12.18880876
8 28      11.99802752
8 29      11.74889300
8 30      11.44826121
8 31      11.10407638
8 32      10.72499708
8 33      10.32002033
8 34       9.89812994
8 35       9.46799028
8 36       9.03770006
8 37       8.61461363
8 38       8.20523053
8 39       7.81514833
8 40       7.44906951
8 41       7.11085092
8 42       6.80358324
8 43       6.52968837
8 44       6.29102429
8 45       6.08898872
8 46       5.92461498
8 47       5.79865583
8 48       5.71165237
8 49       5.66398669

9 0       5.83992438
9 1       5.87461965
9 2       5.95306511
9 3       6.07513584
9 4       6.24057653
9 5       6.44893377
9 6       6.69946969
9 7       6.99105821
9 8       7.32206632
9 9       7.69022493
9 10       8.09249596
9 11       8.52494516
9 12       8.98263273
9 13       9.45953580
9 14       9.94851802
9 15      10.44136120
9 16      10.92887150
9 17      11.40106836
9 18      11.84745784
9 19      12.25738394
9 20      12.62044253
9 21      12.92693406
9 22      13.16832400
9 23      13.33767585
9 24      13.43002076
9 25      13.44263144
9 26      13.37517541
9 27      13.22973314
9 28      13.01067938
9 29      12.72443842
9 30      12.37913568
9 31      11.98417626
9 32      11.54978618
9 33      11.08655238
9 34      10.60499430
9 35      10.11519362
9 36       9.62650006
9 37       9.14732233
9 38       8.68500447
9 39       8.24578084
9 40       7.83479760
9 41       7.45618569
9 42       7.11316938
9 43       6.80819518
9 44       6.54306795
9 45       6.31908367
9 46       6.13715105
9 47       5.99789710
9 48       5.90175351
9 49       5.84902287

10 0       6.03838720
10 1       6.07614722
10 2       6.16216481
10 3       6.29638473
10 4       6.47866758
10 5       6.70870844
10 6       6.98593273
10 7       7.30937000
10 8       7.67750801
10 9       8.08813171
10 10       8.53815490
10 11       9.02345567
10 12       9.53873014
10 13      10.07738197
10 14      10.63146682
10 15      11.19171089
10 16      11.74761996
10 17      12.28769045
10 18      12.79972572
10 19      13.27125102
10 20      13.69000924
10 21      14.04450853
10 22      14.32458384
10 23      14.52192877
10 24      14.63055255
10 25      14.64712171
10 26      14.57115433
10 27      14.40504854
10 28      14.15394224
10 29      13.82541713
10 30      13.42907466
10 31      12.97602204
10 32      12.47831270
10 33      11.94838639
10 34      11.39854967
10 35      10.84052978
10 36      10.28512383
10 37       9.74195431
10 38       9.21933047
10 39       8.72420653
10 40       8.26222125
10 41       7.83779951
10 42       7.45429587
10 43       7.11416113
10 44       6.81911564
10 45       6.57031648
10 46       6.36850955
10 47       6.21416050
10 48       6.10756179
10 49       6.04891477

11 0       6.24874285
11 1       6.28958652
11 2       6.38361705
11 3       6.53086231
11 4       6.73132406
11 5       6.98488121
11 6       7.29116564
11 7       7.64941056
11 8       8.05827339
11 9       8.51563816
11 10       9.01840584
11 11       9.56228584
11 12      10.14160585
11 13      10.74916153
11 14      11.37612970
11 15      12.01206931
11 16      12.64503136
11 17      13.26179315
11 18      13.84822240
11 19      14.38976458
11 20      14.87203273
11 21      15.28146523
11 22      15.60600543
11 23      15.83574942
11 24      15.96350636
11 25      15.98522051
11 26      15.90021508
11 27      15.71123411
11 28      15.42427821
11 29      15.04824960
11 30      14.59444017
11 31      14.07590966
11 32      13.50680853
11 33      12.90170136
11 34      12.27494110
11 35      11.64013459
11 36      11.00972626
11 37      10.39471282
11 38       9.80448803
11 39       9.24680572
11 40       8.72784125
11 41       8.25232722
11 42       7.82373850
11 43       7.44450303
11 44       7.11621863
11 45       6.83986031
11 46       6.61596749
11 47       6.44480436
11 48       6.32649073
11 49       6.26110246

12 0       6.46811074
12 1       6.51201780
12 2       6.61441821
12 3       6.77543650
12 4       6.99524190
12 5       7.27393443
12 6       7.61139844
12 7       8.00712260
12 8       8.45998786
12 9       8.96802828
12 10       9.52817434
12 11      10.13599360
12 12      10.78544953
12 13      11.46870404
12 14      12.17599299
12 15      12.89560456
12 16      13.61398763
12 17      14.31600990
12 18      14.98537442
12 19      15.60518779
12 20      16.15865638
12 21      16.62986971
12 22      17.00461544
12 23      17.27116080
12 24      17.42093252
12 25      17.44903268
12 26      17.35454090
12 27      17.14057316
12 28      16.81409111
12 29      16.38548034
12 30      15.86793815
12 31      15.27672811
12 32      14.62836813
12 33      13.93981996
12 34      13.22774170
12 35      12.50785224
12 36      11.79444039
12 37      11.10003353
12 38      10.43522432
12 39       9.80864017
12 40       9.22703080
12 41       8.69544398
12 42       8.21745868
12 43       7.79544703
12 44       7.43084100
12 45       7.12438572
12 46       6.87636654
12 47       6.68680295
12 48       6.55560615
12 49       6.48270049

13 0       6.69330671
13 1       6.74021208
13 2       6.85123390
13 3       7.02660647
13 4       7.26669259
13 5       7.57185087
13 6       7.94226494
13 7       8.37773235
13 8       8.87741402
13 9       9.43954893
13 10      10.06114465
13 11      10.73766072
13 12      11.46270919
13 13      12.22780275
13 14      13.02218587
13 15      13.83278542
13 16      14.64431455
13 17      15.43955503
13 18      16.19983009
13 19      16.90566150
13 20      17.53758405
13 21      18.07706937
13 22      18.50749329
13 23      18.81506837
13 24      18.98965965
13 25      19.02540759
13 26      18.92109766
13 27      18.68023964
13 28      18.31084857
13 29      17.82494857
13 30      17.23784820
13 31      16.56725611
13 32      15.83231725
13 33      15.05265165
13 34      14.24746989
13 35      13.43482412
13 36      12.63103365
13 37      11.85030272
13 38      11.10452771
13 39      10.40327504
13 40       9.75389907
13 41       9.16176383
13 42       8.63053091
13 43       8.16247940
13 44       7.75882894
13 45       7.42004441
13 46       7.14610780
13 47       6.93674927
13 48       6.79163457
13 49       6.71050982

14 0       6.92086989
14 1       6.97065804
14 2       7.09042476
14 3       7.28052588
14 4       7.54154223
14 5       7.87412663
14 6       8.27880704
14 7       8.75574205
14 8       9.30442861
14 9       9.92336655
14 10      10.60969112
14 11      11.35879308
14 12      12.16395413
14 13      13.01603379
14 14      13.90324963
14 15      14.81109500
14 16      15.72243514
14 17      16.61781353
14 18      17.47598426
14 19      18.27466489
14 20      18.99147979
14 21      19.60503811
14 22      20.09606906
14 23      20.44852186
14 24      20.65053255
14 25      20.69516670
14 26      20.58086500
14 27      20.31154684
14 28      19.89636109
14 29      19.34910882
14 30      18.68739510
14 31      17.93159144
14 32      17.10370447
14 33      16.22624828
14 34      15.32120871
14 35      14.40916939
14 36      13.50864572
14 37      12.63564716
14 38      11.80346395
14 39      11.02265524
14 40      10.30120160
14 41       9.64477826
14 42       9.05710417
14 43       8.54032621
14 44       8.09540452
14 45       7.72247386
14 46       7.42116445
14 47       7.19087365
14 48       7.03098595
14 49       6.94104325

15 0       7.14710459
15 1       7.19960449
15 2       7.32808906
15 3       7.53304531
15 4       7.81529314
15 5       8.17581098
15 6       8.61551148
15 7       9.13496177
15 8       9.73404705
15 9      10.41158152
15 10      11.16487878
15 11      11.98930333
15 12      12.87783512
15 13      13.82068905
15 14      14.80503839
15 15      15.81489462
15 16      16.83119262
15 17      17.83212013
15 18      18.79371173
15 19      19.69070303
15 20      20.49761135
15 21      21.18997935
15 22      21.74569157
15 23      22.14625570
15 24      22.37793383
15 25      22.43261606
15 26      22.30834997
15 27      22.00947203
15 28      21.54632723
15 29      20.93460510
15 30      20.19435859
15 31      19.34880131
15 32      18.42299518
